page,block_id,normalized_text,display_text,manual_interpretation,manual_next_action,manual_source_file,manual_override_applied,matched_runtime,matched_audit,matched_rule_index,matched_review_note,best_match_target,best_match_title,best_match_score,coverage_status,reason
1,p001-b01,"良禽佳木设计师标准手册
版本20260322
求
说
303803SS
ES
SENG
SE
HE
恶￥5059035s
册毛郵 刑 妥木卦禽身",,,,,False,False,False,False,True,review_note,p1 · 良禽佳木设计师标准手册,0.35,covered_non_runtime,当前块内容已被审计层、规则索引或复核结论文档覆盖。
2,p002-b01,"土
YY
bguel)
斑
荔
闭
坚
产
粒
(Aooq-pgaeq
（lensq bszsd-boow）遊敬人木干割",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.0714,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
2,p002-b02,"ag
ee
由
bguel)
(TAT)
Coke
HHT
(Plock
举
谋
料
(lgulugfeq
站
(hollow-
ASW
亚
必
（JVJ）
batsnimel） 如
-wollod）菇心空",,,,,False,False,False,False,False,review_note,review_scope: p004b01、p005b01,0.0848,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
2,p002-b03,"<
pogskq)
Nooq
YR
SLNEYA(LIPSL
（boow
（b1sod
1edit） 形
yoold） 工木思",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.1301,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
2,p002-b04,"pogkq
SINE
(bsuICI6
yx
(b|Amoogq)
eS
WW
SAKA
BR’
iE’
HELE
VSR
VEL
FV¥MEHVSELELXE
MT
R
SESW
SCE
Raley
RRS
ISAS
2H
SEIS
See
BACH,
ROBIE’
REE’
Rae
Wl
PRE
“a
WE
eT!
ACS
MUIR:
HEA
YTS
BDL
PP
*
We
HAE
9S
HRS
BEE
ENC
IEE
SE
BT
NE
re
PT
DE
IL?
Se
(573)
”
DMMB
201019
00g
LILUIFmL6
3
th
(ME
LMM)
MLAVMEMERX:
CB\L
S8505-S0S0
Pel
AEINE
BESS
YS
RS
ed
ES
SERS
RAY
RR
REY
ALY
-
VS
ER
T°
AAS
A
i]
=
(<
ae
ws
R=
¥
IX
EWE
（b16od
（boowylq） 合翅
aloin6q） 荪1
。具突木剽干同不找具突木突，孔因。木剽干国不，对哉人氮木干国B，妹林类彭林踟業，林麩能
而。具家木突比麻心叵猜，具家林隶，林熟能、面胡木 彩，具突帕翅|“林木吋 用 暗全”帕中寒归［维昙不并具突木突，贝呵出由
。芒林血巢，林避灭协 木，木哎排妹类木寞：憾示
。（S.S）具京木苗里市歪未走歪，面靓木萬如进单木实歪未怎盈面素，羽佛煤材类木突用采
srutinu'1 boow biloe 具木突
E.S
：义宝朗具定木突干，中《 朱业工具定》OSOS-SOS8S T\8
S木 =木突
习 大三 宝木",,,,,False,False,False,False,False,audit,N Ne i 5 —— Se A dare le |,0.0533,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
2,p002-b05,"pogkq)
（bsod",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.1269,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
3,p003-b01,"XPS
KMLPR
PY
SME
SHAY?
(ENA
PEARS
PREV
SE
E(u
REY
YE”
SEY”
(CT
NC!
PRN
NHAC?
N°
SYNE
SSENEYV’
Bee
MMe
SSFtEMMEVWSSVMESSEVSY
。武蚍帕品产楼麦大之面市干岷叉［妹县出安
。林木木翅，同 ，木用郵不，敬人木楚能，芯木，合翅用郵不
暗 帕具。 天本 ，木林主全昙用帕大录，具突木昙更具突木突昙不具突帕产主禽身",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.0627,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
3,p003-b02,"te
a
aaa
I
=
EMYRER
#直效大木慐",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.1882,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
3,p003-b03,"PSee
[HST
RB
-¥
he
oo
-
|
二
]
SELVe
blo
yh
se
bio)
sBAL
[EE}e
Poe
He
spicy
aie
vi
S
Wi
my
=
人
中
ORS
EMS
100x
Sona
as,
oBle
YREUE
a
朝品 一
邮 木木寺国 ［芽余］
omeo
019 2A7星更2AH业不面贝叵
9品责蒂或国感（金正］
面贝叵
*2A
柴 天剁 粼的0
00g
2O0m",,,,,False,False,False,False,False,review_note,review_scope: p004b01、p005b01,0.1223,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
3,p003-b04,"baat
致墅必致岳瘾",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.0815,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
3,p003-b05,"*2A7面贝叵|琳直效大拌解天|木散白美北
木 主全",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.0579,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
4,p004-b01,"原木定制三大误区
FAS级、Sup级、F&BP级到底谁是最高等级？
SUP、F&B、F&BP等市面上宣传的等级，并非北美硬木板材的标准等级，而是部分木材商根据自己的规定对木材板材进行了细分，这些等级分级
是在NHLA分等规则的基础上自行划定的木材等级，并没有被NHLA正式认可。例如，以下是部分木材品牌及其木材分级：
实际上，NHLA分等规则中的最高等级为FAS级，该等级是美国阔叶木行业的国家标准并且是出口板材分等标准的最高级别。
此外，仅靠木材的等级来判定家具的品质是另一个误区，我们将在下一部分讲解。
MY
RSS
bk
-aRO
Tb
YEE
KEAN
MS
PAN
EMH
Ail
ch
Se
ZERE
ISR
se
eS
LVR
EH
A
ESO
BSH
OAV
SOE
ES
Sal’
ee
a
§
w
Wg
P|
&
is
cls
|S
|>
¥
=
oO
[oe
ja
fa
ww
ow
2
Y
cs
>
a)
Alt
bat
)
i
By
it
:
cy
ii}
AIENAe
RVIEZNY
oar
RS
POSEN
SEMVV
SWE
PAU
a?
OR
eRe
PE
Ye
ESBbSe
PEE
SVRWMOES
HAE
WE
ERAN
EB
CMM
EMV
WAG
USD
Re
fb’
ESB’
(<
Ri
$
enbsyx’
EVexys’
LeBbey
ENE
eB
wai
[-
=¥
EK
EVER
。输彬代暗一不五部［据，囚吴个一民昙贰品帕具宏宝川来恐箬啵林木靠劝，心业
。岷延高最帕郵芯赛代林财口出昙且并郵称家国帕业邗木t剧国美县艰等态，艰2A比艰等高最帕中呗财等代AJHM.土肃突
（用数不）干期 内国成WA\WA 品干
（ 受平八内国） 数02\0e 2A］
（ 木 ）23JUA XAO
（ 木 ）2JUAXAO
（Toinsquz） 9u2
面单刊2A1
（资数）W2A］
（安数）W2Ai
0T0e 988
OZ\0e 2A7
oTt0e 2A］
OE\0e 2A7
（HDIH）H
（XAM）M
08\08 9U2
312A1
2887
2H
2A
zboowb16H feswroM业木北西
2A］
08\0€ 9U2
TMUJAW IAUO22IMIT
TUJAW T三
OMI202月 入都正*
OMI202月 人都I
blsnoQosM 荣麦
223H TUO 補基高
223HDTUD 祺基高
9UO9D1220月
2A7
MU1909M3西
MO2TAM 森麦
引JIAa（贝
Y》WH
IMAg
AMMO2
羽SMAQ
祺敺露
9WA
T235
木 日
木白
淋甜黑
：雞代协木其还朝品林木代腊县不心，时闷。可心发五AJHV好育送并，避若妹木宝 自土龉基啪顺财代AJHV主县
艰代艰等垫彭，代畔T我协琳协木t宝财5自 射商林木代暗昙而，艰等郵钵咱林对木動美兆非并，避姜計宣土面市等9887，887，9U2
习 大三 宝木",原木定制三大误区；FAS级、Sup级、F&BP级到底谁是最高等级？ 主要用于解释市售木材分级与 NHLA 标准的关系,该页核心作用是科普木材等级概念，重点在纠正常见误区，并未提出可直接执行的报价、配置或结构限制；应视为背景说明而非规则候选,保留背景说明记录，不入 runtime，不进入规则草稿层,p4-p5-manual-review.csv,True,False,False,False,True,manual_review,原木定制三大误区；FAS级、Sup级、F&BP级到底谁是最高等级？ 主要用于解释市售木材分级与 NHLA 标准的关系,1.0,non_rule_background,该页核心作用是科普木材等级概念，重点在纠正常见误区，并未提出可直接执行的报价、配置或结构限制；应视为背景说明而非规则候选
